week,date,section,code,stage,count
4,Oct. 3,L01,L01-2-10,Larvae,0
5,Oct. 10,L01,L01-2-10,Adults,1
5,Oct. 10,L01,L01-2-10,Pupae,0
5,Oct. 10,L01,L01-2-10,Larvae,0
6,Oct 17,L01,L01-2-10,Adults,1
6,Oct 17,L01,L01-2-10,Pupae,0
6,Oct 17,L01,L01-2-10,Larvae,0
7,Oct. 24,L01,L01-2-10,Adults,0
7,Oct. 24,L01,L01-2-10,Pupae,0
7,Oct. 24,L01,L01-2-10,Larvae,0
8,Oct 31,L01,L01-2-10,Adults,0
8,Oct 31,L01,L01-2-10,Pupae,0
8,Oct 31,L01,L01-2-10,Larvae,0
9,Nov 7,L01,L01-2-10,Adults,0
9,Nov 7,L01,L01-2-10,Pupae,0
9,Nov 7,L01,L01-2-10,Larvae,0
10,Nov 14,L01,L01-2-10,Adults,0
10,Nov 14,L01,L01-2-10,Pupae,0
10,Nov 14,L01,L01-2-10,Larvae,0
11,Nov 21,L01,L01-2-10,Adults,0
11,Nov 21,L01,L01-2-10,Pupae,0
11,Nov 21,L01,L01-2-10,Larvae,0
1,Sep 12,L01,L01-3-20,Adults,5
1,Sep 12,L01,L01-3-20,Pupae,0
1,Sep 12,L01,L01-3-20,Larvae,0
2,Sep. 19,L01,L01-3-20,Adults,5
2,Sep. 19,L01,L01-3-20,Pupae,0
2,Sep. 19,L01,L01-3-20,Larvae,0
3,Sep. 26,L01,L01-3-20,Adults,5
3,Sep. 26,L01,L01-3-20,Pupae,0
3,Sep. 26,L01,L01-3-20,Larvae,0
4,Oct. 3,L01,L01-3-20,Adults,5
4,Oct. 3,L01,L01-3-20,Pupae,0
4,Oct. 3,L01,L01-3-20,Larvae,0
5,Oct. 10,L01,L01-3-20,Adults,5
5,Oct. 10,L01,L01-3-20,Pupae,0
5,Oct. 10,L01,L01-3-20,Larvae,1
6,Oct 17,L01,L01-3-20,Adults,5
6,Oct 17,L01,L01-3-20,Pupae,0
6,Oct 17,L01,L01-3-20,Larvae,1
7,Oct. 24,L01,L01-3-20,Adults,4
7,Oct. 24,L01,L01-3-20,Pupae,0
7,Oct. 24,L01,L01-3-20,Larvae,1
8,Oct 31,L01,L01-3-20,Adults,4
8,Oct 31,L01,L01-3-20,Pupae,0
8,Oct 31,L01,L01-3-20,Larvae,2
9,Nov 7,L01,L01-3-20,Adults,4
9,Nov 7,L01,L01-3-20,Pupae,0
9,Nov 7,L01,L01-3-20,Larvae,2
10,Nov 14,L01,L01-3-20,Adults,4
10,Nov 14,L01,L01-3-20,Pupae,0
10,Nov 14,L01,L01-3-20,Larvae,2
11,Nov 21,L01,L01-3-20,Adults,4
11,Nov 21,L01,L01-3-20,Pupae,0
11,Nov 21,L01,L01-3-20,Larvae,0
12,Nov. 28,L01,L01-3-20,Adults,4
12,Nov. 28,L01,L01-3-20,Pupae,0
12,Nov. 28,L01,L01-3-20,Larvae,3
13,Dec. 5,L01,L01-3-20,Adults,4
13,Dec. 5,L01,L01-3-20,Pupae,0
13,Dec. 5,L01,L01-3-20,Larvae,1
14,Dec. 12,L01,L01-3-20,Adults,4
14,Dec. 12,L01,L01-3-20,Pupae,0
14,Dec. 12,L01,L01-3-20,Larvae,1
15,Dec. 19,L01,L01-3-20,Adults,4
15,Dec. 19,L01,L01-3-20,Pupae,0
15,Dec. 19,L01,L01-3-20,Larvae,3
16,Dec 26,L01,L01-3-20,Adults,4
16,Dec 26,L01,L01-3-20,Pupae,0
16,Dec 26,L01,L01-3-20,Larvae,3
17,Jan. 2,L01,L01-3-20,Adults,4
17,Jan. 2,L01,L01-3-20,Pupae,0
17,Jan. 2,L01,L01-3-20,Larvae,3
18,Jan 9,L01,L01-3-20,Adults,3
18,Jan 9,L01,L01-3-20,Pupae,0
18,Jan 9,L01,L01-3-20,Larvae,4
19,Jan 16,L01,L01-3-20,Adults,3
19,Jan 16,L01,L01-3-20,Pupae,0
19,Jan 16,L01,L01-3-20,Larvae,5
20,Jan 23,L01,L01-3-20,Adults,2
20,Jan 23,L01,L01-3-20,Pupae,0
20,Jan 23,L01,L01-3-20,Larvae,5
21,Jan 30,L01,L01-3-20,Adults,2
21,Jan 30,L01,L01-3-20,Pupae,0
21,Jan 30,L01,L01-3-20,Larvae,5
22,Feb 6,L01,L01-3-20,Adults,2
22,Feb 6,L01,L01-3-20,Pupae,1
22,Feb 6,L01,L01-3-20,Larvae,4
23,Feb 13,L01,L01-3-20,Adults,2
23,Feb 13,L01,L01-3-20,Pupae,1
23,Feb 13,L01,L01-3-20,Larvae,4
24,Feb 20,L01,L01-3-20,Adults,2
24,Feb 20,L01,L01-3-20,Pupae,1
24,Feb 20,L01,L01-3-20,Larvae,4
25,Feb 27,L01,L01-3-20,Adults,3
25,Feb 27,L01,L01-3-20,Pupae,0
25,Feb 27,L01,L01-3-20,Larvae,4
26,Mar 5,L01,L01-3-20,Adults,3
26,Mar 5,L01,L01-3-20,Pupae,1
26,Mar 5,L01,L01-3-20,Larvae,3
27,Mar 12,L01,L01-3-20,Adults,3
27,Mar 12,L01,L01-3-20,Pupae,1
27,Mar 12,L01,L01-3-20,Larvae,3
28,Mar 19,L01,L01-3-20,Adults,2
28,Mar 19,L01,L01-3-20,Pupae,1
28,Mar 19,L01,L01-3-20,Larvae,3
1,Sep 12,L01,L01-4-20,Adults,5
1,Sep 12,L01,L01-4-20,Pupae,0
1,Sep 12,L01,L01-4-20,Larvae,0
2,Sep. 19,L01,L01-4-20,Adults,5
2,Sep. 19,L01,L01-4-20,Pupae,0
2,Sep. 19,L01,L01-4-20,Larvae,0
3,Sep. 26,L01,L01-4-20,Adults,5
3,Sep. 26,L01,L01-4-20,Pupae,0
3,Sep. 26,L01,L01-4-20,Larvae,0
4,Oct. 3,L01,L01-4-20,Adults,5
4,Oct. 3,L01,L01-4-20,Pupae,0
4,Oct. 3,L01,L01-4-20,Larvae,0
5,Oct. 10,L01,L01-4-20,Adults,5
5,Oct. 10,L01,L01-4-20,Pupae,0
5,Oct. 10,L01,L01-4-20,Larvae,1
6,Oct 17,L01,L01-4-20,Adults,5
6,Oct 17,L01,L01-4-20,Pupae,0
6,Oct 17,L01,L01-4-20,Larvae,1
7,Oct. 24,L01,L01-4-20,Adults,5
7,Oct. 24,L01,L01-4-20,Pupae,0
7,Oct. 24,L01,L01-4-20,Larvae,1
8,Oct 31,L01,L01-4-20,Adults,5
8,Oct 31,L01,L01-4-20,Pupae,0
8,Oct 31,L01,L01-4-20,Larvae,1
9,Nov 7,L01,L01-4-20,Adults,5
9,Nov 7,L01,L01-4-20,Pupae,0
9,Nov 7,L01,L01-4-20,Larvae,1
10,Nov 14,L01,L01-4-20,Adults,5
10,Nov 14,L01,L01-4-20,Pupae,0
10,Nov 14,L01,L01-4-20,Larvae,3
11,Nov 21,L01,L01-4-20,Adults,5
11,Nov 21,L01,L01-4-20,Pupae,0
11,Nov 21,L01,L01-4-20,Larvae,2
12,Nov. 28,L01,L01-4-20,Adults,5
12,Nov. 28,L01,L01-4-20,Pupae,0
12,Nov. 28,L01,L01-4-20,Larvae,2
13,Dec. 5,L01,L01-4-20,Adults,5
13,Dec. 5,L01,L01-4-20,Pupae,0
13,Dec. 5,L01,L01-4-20,Larvae,2
14,Dec. 12,L01,L01-4-20,Adults,5
14,Dec. 12,L01,L01-4-20,Pupae,0
14,Dec. 12,L01,L01-4-20,Larvae,2
15,Dec. 19,L01,L01-4-20,Adults,5
15,Dec. 19,L01,L01-4-20,Pupae,0
15,Dec. 19,L01,L01-4-20,Larvae,2
16,Dec 26,L01,L01-4-20,Adults,4
16,Dec 26,L01,L01-4-20,Pupae,1
16,Dec 26,L01,L01-4-20,Larvae,1
17,Jan. 2,L01,L01-4-20,Adults,4
17,Jan. 2,L01,L01-4-20,Pupae,1
17,Jan. 2,L01,L01-4-20,Larvae,1
18,Jan 9,L01,L01-4-20,Adults,3
18,Jan 9,L01,L01-4-20,Pupae,1
18,Jan 9,L01,L01-4-20,Larvae,1
19,Jan 16,L01,L01-4-20,Adults,4
19,Jan 16,L01,L01-4-20,Pupae,0
19,Jan 16,L01,L01-4-20,Larvae,1
20,Jan 23,L01,L01-4-20,Adults,4
20,Jan 23,L01,L01-4-20,Pupae,1
20,Jan 23,L01,L01-4-20,Larvae,0
21,Jan 30,L01,L01-4-20,Adults,4
21,Jan 30,L01,L01-4-20,Pupae,1
21,Jan 30,L01,L01-4-20,Larvae,0
22,Feb 6,L01,L01-4-20,Adults,4
22,Feb 6,L01,L01-4-20,Pupae,1
22,Feb 6,L01,L01-4-20,Larvae,0
23,Feb 13,L01,L01-4-20,Adults,4
23,Feb 13,L01,L01-4-20,Pupae,0
23,Feb 13,L01,L01-4-20,Larvae,0
24,Feb 20,L01,L01-4-20,Adults,4
24,Feb 20,L01,L01-4-20,Pupae,0
24,Feb 20,L01,L01-4-20,Larvae,0
25,Feb 27,L01,L01-4-20,Adults,4
25,Feb 27,L01,L01-4-20,Pupae,0
25,Feb 27,L01,L01-4-20,Larvae,0
26,Mar 5,L01,L01-4-20,Adults,4
26,Mar 5,L01,L01-4-20,Pupae,0
26,Mar 5,L01,L01-4-20,Larvae,0
27,Mar 12,L01,L01-4-20,Adults,4
27,Mar 12,L01,L01-4-20,Pupae,0
27,Mar 12,L01,L01-4-20,Larvae,0
28,Mar 19,L01,L01-4-20,Adults,4
28,Mar 19,L01,L01-4-20,Pupae,0
28,Mar 19,L01,L01-4-20,Larvae,0
1,Sep 12,L01,L01-5-30,Adults,5
1,Sep 12,L01,L01-5-30,Pupae,0
1,Sep 12,L01,L01-5-30,Larvae,0
2,Sep. 19,L01,L01-5-30,Adults,4
2,Sep. 19,L01,L01-5-30,Pupae,0
2,Sep. 19,L01,L01-5-30,Larvae,0
3,Sep. 26,L01,L01-5-30,Adults,3
3,Sep. 26,L01,L01-5-30,Pupae,0
3,Sep. 26,L01,L01-5-30,Larvae,0
4,Oct. 3,L01,L01-5-30,Adults,2
4,Oct. 3,L01,L01-5-30,Pupae,0
4,Oct. 3,L01,L01-5-30,Larvae,0
5,Oct. 10,L01,L01-5-30,Adults,0
5,Oct. 10,L01,L01-5-30,Pupae,0
5,Oct. 10,L01,L01-5-30,Larvae,0
6,Oct 17,L01,L01-5-30,Adults,0
6,Oct 17,L01,L01-5-30,Pupae,0
6,Oct 17,L01,L01-5-30,Larvae,0
7,Oct. 24,L01,L01-5-30,Adults,0
7,Oct. 24,L01,L01-5-30,Pupae,0
7,Oct. 24,L01,L01-5-30,Larvae,0
1,Oct 31,L01,L01-6-30,Adults,5
1,Oct 31,L01,L01-6-30,Pupae,0
1,Oct 31,L01,L01-6-30,Larvae,0
2,Nov 7,L01,L01-6-30,Adults,5
2,Nov 7,L01,L01-6-30,Pupae,0
2,Nov 7,L01,L01-6-30,Larvae,0
3,Nov 14,L01,L01-6-30,Adults,4
3,Nov 14,L01,L01-6-30,Pupae,0
3,Nov 14,L01,L01-6-30,Larvae,0
4,Nov 21,L01,L01-6-30,Adults,4
4,Nov 21,L01,L01-6-30,Pupae,0
4,Nov 21,L01,L01-6-30,Larvae,0
5,Nov. 28,L01,L01-6-30,Adults,1
5,Nov. 28,L01,L01-6-30,Pupae,0
5,Nov. 28,L01,L01-6-30,Larvae,23
6,Dec. 5,L01,L01-6-30,Adults,1
6,Dec. 5,L01,L01-6-30,Pupae,0
6,Dec. 5,L01,L01-6-30,Larvae,39
7,Dec. 12,L01,L01-6-30,Adults,1
7,Dec. 12,L01,L01-6-30,Pupae,0
7,Dec. 12,L01,L01-6-30,Larvae,54
8,Dec. 19,L01,L01-6-30,Adults,1
8,Dec. 19,L01,L01-6-30,Pupae,2
8,Dec. 19,L01,L01-6-30,Larvae,76
9,Dec 26,L01,L01-6-30,Adults,4
9,Dec 26,L01,L01-6-30,Pupae,10
9,Dec 26,L01,L01-6-30,Larvae,48
10,Jan. 2,L01,L01-6-30,Adults,11
10,Jan. 2,L01,L01-6-30,Pupae,8
10,Jan. 2,L01,L01-6-30,Larvae,59
11,Jan 9,L01,L01-6-30,Adults,18
11,Jan 9,L01,L01-6-30,Pupae,14
11,Jan 9,L01,L01-6-30,Larvae,39
12,Jan 16,L01,L01-6-30,Adults,27
12,Jan 16,L01,L01-6-30,Pupae,9
12,Jan 16,L01,L01-6-30,Larvae,29
13,Jan 23,L01,L01-6-30,Adults,30
13,Jan 23,L01,L01-6-30,Pupae,9
13,Jan 23,L01,L01-6-30,Larvae,19
14,Jan 30,L01,L01-6-30,Adults,33
14,Jan 30,L01,L01-6-30,Pupae,8
14,Jan 30,L01,L01-6-30,Larvae,9
15,Feb 6,L01,L01-6-30,Adults,39
15,Feb 6,L01,L01-6-30,Pupae,0
15,Feb 6,L01,L01-6-30,Larvae,9
16,Feb 13,L01,L01-6-30,Adults,38
16,Feb 13,L01,L01-6-30,Pupae,0
16,Feb 13,L01,L01-6-30,Larvae,11
17,Feb 20,L01,L01-6-30,Adults,33
17,Feb 20,L01,L01-6-30,Pupae,0
17,Feb 20,L01,L01-6-30,Larvae,9
18,Feb 27,L01,L01-6-30,Adults,32
18,Feb 27,L01,L01-6-30,Pupae,0
18,Feb 27,L01,L01-6-30,Larvae,12
19,Mar 5,L01,L01-6-30,Adults,31
19,Mar 5,L01,L01-6-30,Pupae,0
19,Mar 5,L01,L01-6-30,Larvae,13
20,Mar 12,L01,L01-6-30,Adults,31
20,Mar 12,L01,L01-6-30,Pupae,0
20,Mar 12,L01,L01-6-30,Larvae,13
21,Mar 19,L01,L01-6-30,Adults,31
21,Mar 19,L01,L01-6-30,Pupae,0
21,Mar 19,L01,L01-6-30,Larvae,12
1,Sep 12,L02,L02-1-15,Adults,5
1,Sep 12,L02,L02-1-15,Pupae,0
1,Sep 12,L02,L02-1-15,Larvae,0
2,Sep. 19,L02,L02-1-15,Adults,5
2,Sep. 19,L02,L02-1-15,Pupae,0
2,Sep. 19,L02,L02-1-15,Larvae,0
3,Sep. 26,L02,L02-1-15,Adults,5
3,Sep. 26,L02,L02-1-15,Pupae,0
3,Sep. 26,L02,L02-1-15,Larvae,0
4,Oct. 3,L02,L02-1-15,Adults,5
4,Oct. 3,L02,L02-1-15,Pupae,0
4,Oct. 3,L02,L02-1-15,Larvae,0
5,Oct. 10,L02,L02-1-15,Adults,5
5,Oct. 10,L02,L02-1-15,Pupae,0
5,Oct. 10,L02,L02-1-15,Larvae,0
6,Oct 17,L02,L02-1-15,Adults,5
6,Oct 17,L02,L02-1-15,Pupae,0
6,Oct 17,L02,L02-1-15,Larvae,0
7,Oct. 24,L02,L02-1-15,Adults,5
7,Oct. 24,L02,L02-1-15,Pupae,0
7,Oct. 24,L02,L02-1-15,Larvae,0
8,Oct 31,L02,L02-1-15,Adults,5
8,Oct 31,L02,L02-1-15,Pupae,0
8,Oct 31,L02,L02-1-15,Larvae,0
9,Nov 7,L02,L02-1-15,Adults,5
9,Nov 7,L02,L02-1-15,Pupae,0
9,Nov 7,L02,L02-1-15,Larvae,0
10,Nov 14,L02,L02-1-15,Adults,5
10,Nov 14,L02,L02-1-15,Pupae,0
10,Nov 14,L02,L02-1-15,Larvae,0
11,Nov 21,L02,L02-1-15,Adults,5
11,Nov 21,L02,L02-1-15,Pupae,0
11,Nov 21,L02,L02-1-15,Larvae,0
12,Nov. 28,L02,L02-1-15,Adults,5
12,Nov. 28,L02,L02-1-15,Pupae,0
12,Nov. 28,L02,L02-1-15,Larvae,0
13,Dec. 5,L02,L02-1-15,Adults,5
13,Dec. 5,L02,L02-1-15,Pupae,0
13,Dec. 5,L02,L02-1-15,Larvae,0
14,Dec. 12,L02,L02-1-15,Adults,4
14,Dec. 12,L02,L02-1-15,Pupae,0
14,Dec. 12,L02,L02-1-15,Larvae,0
15,Dec. 19,L02,L02-1-15,Adults,4
15,Dec. 19,L02,L02-1-15,Pupae,0
15,Dec. 19,L02,L02-1-15,Larvae,1
16,Dec 26,L02,L02-1-15,Adults,4
16,Dec 26,L02,L02-1-15,Pupae,0
16,Dec 26,L02,L02-1-15,Larvae,1
17,Jan. 2,L02,L02-1-15,Adults,4
17,Jan. 2,L02,L02-1-15,Pupae,0
17,Jan. 2,L02,L02-1-15,Larvae,2
18,Jan 9,L02,L02-1-15,Adults,4
18,Jan 9,L02,L02-1-15,Pupae,0
18,Jan 9,L02,L02-1-15,Larvae,2
19,Jan 16,L02,L02-1-15,Adults,4
19,Jan 16,L02,L02-1-15,Pupae,0
19,Jan 16,L02,L02-1-15,Larvae,2
20,Jan 23,L02,L02-1-15,Adults,4
20,Jan 23,L02,L02-1-15,Pupae,0
20,Jan 23,L02,L02-1-15,Larvae,2
21,Jan 30,L02,L02-1-15,Adults,4
21,Jan 30,L02,L02-1-15,Pupae,0
21,Jan 30,L02,L02-1-15,Larvae,2
22,Feb 6,L02,L02-1-15,Adults,3
22,Feb 6,L02,L02-1-15,Pupae,0
22,Feb 6,L02,L02-1-15,Larvae,3
23,Feb 13,L02,L02-1-15,Adults,3
23,Feb 13,L02,L02-1-15,Pupae,0
23,Feb 13,L02,L02-1-15,Larvae,4
24,Feb 20,L02,L02-1-15,Adults,2
24,Feb 20,L02,L02-1-15,Pupae,0
24,Feb 20,L02,L02-1-15,Larvae,2
25,Feb 27,L02,L02-1-15,Adults,1
25,Feb 27,L02,L02-1-15,Pupae,0
25,Feb 27,L02,L02-1-15,Larvae,2
26,Mar 5,L02,L02-1-15,Adults,0
26,Mar 5,L02,L02-1-15,Pupae,0
26,Mar 5,L02,L02-1-15,Larvae,2
27,Mar 12,L02,L02-1-15,Adults,0
27,Mar 12,L02,L02-1-15,Pupae,0
27,Mar 12,L02,L02-1-15,Larvae,2
28,Mar 19,L02,L02-1-15,Adults,0
28,Mar 19,L02,L02-1-15,Pupae,0
28,Mar 19,L02,L02-1-15,Larvae,1
1,Sep 12,L02,L02-2-15,Adults,5
1,Sep 12,L02,L02-2-15,Pupae,0
1,Sep 12,L02,L02-2-15,Larvae,0
2,Sep. 19,L02,L02-2-15,Adults,5
2,Sep. 19,L02,L02-2-15,Pupae,0
2,Sep. 19,L02,L02-2-15,Larvae,0
3,Sep. 26,L02,L02-2-15,Adults,5
3,Sep. 26,L02,L02-2-15,Pupae,0
3,Sep. 26,L02,L02-2-15,Larvae,0
4,Oct. 3,L02,L02-2-15,Adults,5
4,Oct. 3,L02,L02-2-15,Pupae,0
4,Oct. 3,L02,L02-2-15,Larvae,0
5,Oct. 10,L02,L02-2-15,Adults,5
5,Oct. 10,L02,L02-2-15,Pupae,0
5,Oct. 10,L02,L02-2-15,Larvae,0
6,Oct 17,L02,L02-2-15,Adults,5
6,Oct 17,L02,L02-2-15,Pupae,0
6,Oct 17,L02,L02-2-15,Larvae,0
7,Oct. 24,L02,L02-2-15,Adults,5
7,Oct. 24,L02,L02-2-15,Pupae,0
7,Oct. 24,L02,L02-2-15,Larvae,0
8,Oct 31,L02,L02-2-15,Adults,5
8,Oct 31,L02,L02-2-15,Pupae,0
8,Oct 31,L02,L02-2-15,Larvae,0
9,Nov 7,L02,L02-2-15,Adults,3
9,Nov 7,L02,L02-2-15,Pupae,0
9,Nov 7,L02,L02-2-15,Larvae,0
10,Nov 14,L02,L02-2-15,Adults,3
10,Nov 14,L02,L02-2-15,Pupae,0
10,Nov 14,L02,L02-2-15,Larvae,0
11,Nov 21,L02,L02-2-15,Adults,3
11,Nov 21,L02,L02-2-15,Pupae,0
11,Nov 21,L02,L02-2-15,Larvae,0
12,Nov. 28,L02,L02-2-15,Adults,2
12,Nov. 28,L02,L02-2-15,Pupae,0
12,Nov. 28,L02,L02-2-15,Larvae,0
13,Dec. 5,L02,L02-2-15,Adults,2
13,Dec. 5,L02,L02-2-15,Pupae,0
13,Dec. 5,L02,L02-2-15,Larvae,0
14,Dec. 12,L02,L02-2-15,Adults,2
14,Dec. 12,L02,L02-2-15,Pupae,0
14,Dec. 12,L02,L02-2-15,Larvae,0
15,Dec. 19,L02,L02-2-15,Adults,2
15,Dec. 19,L02,L02-2-15,Pupae,0
15,Dec. 19,L02,L02-2-15,Larvae,0
16,Dec 26,L02,L02-2-15,Adults,2
16,Dec 26,L02,L02-2-15,Pupae,0
16,Dec 26,L02,L02-2-15,Larvae,0
17,Jan. 2,L02,L02-2-15,Adults,2
17,Jan. 2,L02,L02-2-15,Pupae,0
17,Jan. 2,L02,L02-2-15,Larvae,0
18,Jan 9,L02,L02-2-15,Adults,2
18,Jan 9,L02,L02-2-15,Pupae,0
18,Jan 9,L02,L02-2-15,Larvae,0
19,Jan 16,L02,L02-2-15,Adults,2
19,Jan 16,L02,L02-2-15,Pupae,0
19,Jan 16,L02,L02-2-15,Larvae,0
20,Jan 23,L02,L02-2-15,Adults,2
20,Jan 23,L02,L02-2-15,Pupae,0
20,Jan 23,L02,L02-2-15,Larvae,0
21,Jan 30,L02,L02-2-15,Adults,1
21,Jan 30,L02,L02-2-15,Pupae,0
21,Jan 30,L02,L02-2-15,Larvae,0
22,Feb 6,L02,L02-2-15,Adults,1
22,Feb 6,L02,L02-2-15,Pupae,0
22,Feb 6,L02,L02-2-15,Larvae,0
23,Feb 13,L02,L02-2-15,Adults,1
23,Feb 13,L02,L02-2-15,Pupae,0
23,Feb 13,L02,L02-2-15,Larvae,0
24,Feb 20,L02,L02-2-15,Adults,1
24,Feb 20,L02,L02-2-15,Pupae,0
24,Feb 20,L02,L02-2-15,Larvae,0
1,Sep 12,L02,L02-3-25,Adults,5
1,Sep 12,L02,L02-3-25,Pupae,0
1,Sep 12,L02,L02-3-25,Larvae,0
2,Sep. 19,L02,L02-3-25,Adults,5
2,Sep. 19,L02,L02-3-25,Pupae,0
2,Sep. 19,L02,L02-3-25,Larvae,0
3,Sep. 26,L02,L02-3-25,Adults,5
3,Sep. 26,L02,L02-3-25,Pupae,0
3,Sep. 26,L02,L02-3-25,Larvae,6
4,Oct. 3,L02,L02-3-25,Adults,5
4,Oct. 3,L02,L02-3-25,Pupae,0
4,Oct. 3,L02,L02-3-25,Larvae,3
5,Oct. 10,L02,L02-3-25,Adults,5
5,Oct. 10,L02,L02-3-25,Pupae,0
5,Oct. 10,L02,L02-3-25,Larvae,6
6,Oct 17,L02,L02-3-25,Adults,4
6,Oct 17,L02,L02-3-25,Pupae,0
6,Oct 17,L02,L02-3-25,Larvae,25
7,Oct. 24,L02,L02-3-25,Adults,2
7,Oct. 24,L02,L02-3-25,Pupae,0
7,Oct. 24,L02,L02-3-25,Larvae,41
8,Oct 31,L02,L02-3-25,Adults,2
8,Oct 31,L02,L02-3-25,Pupae,2
8,Oct 31,L02,L02-3-25,Larvae,38
9,Nov 7,L02,L02-3-25,Adults,2
9,Nov 7,L02,L02-3-25,Pupae,3
9,Nov 7,L02,L02-3-25,Larvae,34
10,Nov 14,L02,L02-3-25,Adults,5
10,Nov 14,L02,L02-3-25,Pupae,8
10,Nov 14,L02,L02-3-25,Larvae,30
11,Nov 21,L02,L02-3-25,Adults,7
11,Nov 21,L02,L02-3-25,Pupae,13
11,Nov 21,L02,L02-3-25,Larvae,19
12,Nov. 28,L02,L02-3-25,Adults,15
12,Nov. 28,L02,L02-3-25,Pupae,7
12,Nov. 28,L02,L02-3-25,Larvae,15
13,Dec. 5,L02,L02-3-25,Adults,17
13,Dec. 5,L02,L02-3-25,Pupae,4
13,Dec. 5,L02,L02-3-25,Larvae,18
14,Dec. 12,L02,L02-3-25,Adults,21
14,Dec. 12,L02,L02-3-25,Pupae,6
14,Dec. 12,L02,L02-3-25,Larvae,14
15,Dec. 19,L02,L02-3-25,Adults,24
15,Dec. 19,L02,L02-3-25,Pupae,6
15,Dec. 19,L02,L02-3-25,Larvae,12
16,Dec 26,L02,L02-3-25,Adults,24
16,Dec 26,L02,L02-3-25,Pupae,1
16,Dec 26,L02,L02-3-25,Larvae,10
17,Jan. 2,L02,L02-3-25,Adults,29
17,Jan. 2,L02,L02-3-25,Pupae,2
17,Jan. 2,L02,L02-3-25,Larvae,10
18,Jan 9,L02,L02-3-25,Adults,29
18,Jan 9,L02,L02-3-25,Pupae,2
18,Jan 9,L02,L02-3-25,Larvae,15
19,Jan 16,L02,L02-3-25,Adults,31
19,Jan 16,L02,L02-3-25,Pupae,0
19,Jan 16,L02,L02-3-25,Larvae,18
20,Jan 23,L02,L02-3-25,Adults,28
20,Jan 23,L02,L02-3-25,Pupae,0
20,Jan 23,L02,L02-3-25,Larvae,23
21,Jan 30,L02,L02-3-25,Adults,26
21,Jan 30,L02,L02-3-25,Pupae,2
21,Jan 30,L02,L02-3-25,Larvae,20
22,Feb 6,L02,L02-3-25,Adults,26
22,Feb 6,L02,L02-3-25,Pupae,0
22,Feb 6,L02,L02-3-25,Larvae,21
23,Feb 13,L02,L02-3-25,Adults,26
23,Feb 13,L02,L02-3-25,Pupae,0
23,Feb 13,L02,L02-3-25,Larvae,22
24,Feb 20,L02,L02-3-25,Adults,25
24,Feb 20,L02,L02-3-25,Pupae,0
24,Feb 20,L02,L02-3-25,Larvae,22
25,Feb 27,L02,L02-3-25,Adults,25
25,Feb 27,L02,L02-3-25,Pupae,0
25,Feb 27,L02,L02-3-25,Larvae,21
26,Mar 5,L02,L02-3-25,Adults,25
26,Mar 5,L02,L02-3-25,Pupae,2
